25 20
t                       t
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j           d           j
j       gane Over       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
x                       x
