25 20
t                       t
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j        YOU WON        j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
j                       j
x                       x
